"Final_EA_code","interview__id","School_leave_id","s3q34","s3q35a","s3q35b","s3q36a","s3q36b"
"308102060619","1124288a21f7429c8e9307a11291b298",2,1,96,48,11,6
"308102060619","1124288a21f7429c8e9307a11291b298",1,2,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",1,2,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",3,1,32,35,8,8
"327106020513","11324295e37b4bd8b91976e0d5e61df7",2,1,64,42,8,8
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",1,,,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",2,,,,,
"102104020103","120745e30ae2426f86bb7f0dc22bbf48",3,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",3,2,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",1,1,23,8,8,9
"219103170202","14b0a6db23fb42a683d40499e0651e1a",2,1,3,5,8,8
"115202070303","14c013df40e448d49e47f95ceab9d37e",2,1,2,2,6,6
"115202070303","14c013df40e448d49e47f95ceab9d37e",1,1,3,2,8,8
"115202070303","14c013df40e448d49e47f95ceab9d37e",3,1,2,2,11,11
"303404030404","1559b44962074f1fa1de10a1c4794e7f",1,1,18,24,9,9
"303404030404","1559b44962074f1fa1de10a1c4794e7f",2,1,20,20,9,9
"303404030404","1559b44962074f1fa1de10a1c4794e7f",3,1,36,42,9,9
"113105040201","15d825f70832453c8d77d9b0db1b716f",2,1,7,5,6,8
"113105040201","15d825f70832453c8d77d9b0db1b716f",3,1,11,8,8,8
"113105040201","15d825f70832453c8d77d9b0db1b716f",1,1,8,4,6,8
"223128010204","15daaf897d21429892bdbf6e9764ae66",3,2,,,,
"223128010204","15daaf897d21429892bdbf6e9764ae66",2,2,,,,
"223128010204","15daaf897d21429892bdbf6e9764ae66",1,1,0,1,,5
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",1,1,35,40,9,11
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",3,1,40,37,8,5
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",2,1,50,35,8,5
"102104020313","179be7cbf9884e01833685dd902c2f22",3,,,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",2,,,,,
"102104020313","179be7cbf9884e01833685dd902c2f22",1,,,,,
"113604010110","17ad285d62d7499fa34b4a79740f73fd",2,1,20,17,8,8
"113604010110","17ad285d62d7499fa34b4a79740f73fd",1,1,12,18,8,8
"113604010110","17ad285d62d7499fa34b4a79740f73fd",3,2,,,,
"221109050505","18cad48cbad4438ab7b9524abfdc566e",2,2,,,,
"221109050505","18cad48cbad4438ab7b9524abfdc566e",3,2,,,,
"221109050505","18cad48cbad4438ab7b9524abfdc566e",1,2,,,,
"123110030105","19e17412e1bb4367904771f4b7d723b1",3,1,10,10,96,96
