"Final_EA_code","interview__id","Community_groups_id","s6bq01","s6bq02","s6bq03","s6bq04","s6bq05"
"415114070301","07ae8f7297234aee97940f7561f48346",309,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",306,1,1,2012,2,35
"415114070301","07ae8f7297234aee97940f7561f48346",311,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",302,2,,,,
"415114070301","07ae8f7297234aee97940f7561f48346",313,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",302,1,7,2014,2,7
"204102040514","0878b9ca320646cbb31fafb49df1a623",309,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",303,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",304,1,8,2000,1,31
"204102040514","0878b9ca320646cbb31fafb49df1a623",312,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",310,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",313,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",307,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",308,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",306,1,1,2014,1,12
"204102040514","0878b9ca320646cbb31fafb49df1a623",305,1,1,2017,1,19
"204102040514","0878b9ca320646cbb31fafb49df1a623",301,2,,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",311,2,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",310,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",301,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",311,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",309,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",303,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",304,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",306,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",313,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",305,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",307,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",312,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",302,,,,,
"205101030109","098b64d5f62d4447a876789fb7762cb4",308,,,,,
"307202030201","09bfa283100c462d998e21c567116948",304,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",305,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",301,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",306,1,5,2018,3,10
"307202030201","09bfa283100c462d998e21c567116948",303,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",309,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",313,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",311,1,1,2013,3,9
"307202030201","09bfa283100c462d998e21c567116948",302,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",307,1,2,2016,3,15
"307202030201","09bfa283100c462d998e21c567116948",312,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",310,2,,,,
"307202030201","09bfa283100c462d998e21c567116948",308,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",302,1,2,2010,2,10
"107302030503","0aee3535b7234e049787609e8776fee8",312,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",301,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",313,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",303,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",307,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",309,1,2,2012,1,12
"107302030503","0aee3535b7234e049787609e8776fee8",305,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",311,2,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",306,1,1,2010,2,15
