"Final_EA_code","interview__id","community_needs_id","s6dq1","s6dq2","s6qd3","s6dqd4","s6dq5","s6dq6","s6dq7","s6dq08a","s6dq08b","s6dq08c","s6dq09","s6dq10","s6dq11","s6dq12a","s6dq12b","s6dq12c","s6dq13","s6dq14","s6dq15","s6dq16","s6dq17a","s6dq17b","s6dq17c","s6dq17d"
"117202080201","0b08b47250b441e9a1cef5e119453e39",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",106,2,1,1,,1,1,2,4,,,2,4,,,,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",101,1,1,1,,1,1,1,4,,,1,1,2018,3,,,98,0,,2,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",104,1,1,1,,2,,,4,,,1,5,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",106,1,2,1,,2,,,3,,,1,1,2018,5,,,0,0,,1,2,2,1,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",101,1,2,1,,2,,,3,,,2,3,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",106,1,1,1,,2,,,1,2,,1,1,2018,1,,,200000,200000,1,1,1,2,2,2
"118101041020","0d35d167e05a48cabed55225424424cf",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"118101041020","0d35d167e05a48cabed55225424424cf",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",101,1,1,1,,1,1,2,1,2,4,1,1,2018,1,,,2000000,1000000,2,1,1,1,2,1
"113105050532","103ae2d40d654ba6ae6314c148087521",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105050532","103ae2d40d654ba6ae6314c148087521",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",106,1,1,1,,2,,,3,,,2,5,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",101,1,1,1,,2,,,3,,,2,5,,,,,,,,,,,,
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",106,1,1,1,,1,1,1,1,4,5,1,1,2014,1,3,,19000000,200000,1,2,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",101,1,1,1,,1,9,1,4,1,,1,2,2018,3,4,,69000000,0,,2,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"232101040606","1058921f8e3e4719beb3f8c64572daf1",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",104,2,2,2,1,,,,,,,,5,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",105,2,1,2,1,,,,,,,,5,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",106,1,1,1,,1,1,1,7,,,1,1,2016,4,5,6,11000000,0,,2,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"327106020513","11324295e37b4bd8b91976e0d5e61df7",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",101,1,1,1,,1,1,1,3,,,2,3,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",111,2,1,1,,1,1,1,2,1,,1,5,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",106,1,1,1,,1,1,2,4,,,1,1,2014,3,,,0,0,,2,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"219103170202","14b0a6db23fb42a683d40499e0651e1a",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",106,1,1,1,,2,,,4,,,2,1,2018,4,,,0,0,,2,,,,
"115202070303","14c013df40e448d49e47f95ceab9d37e",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",101,1,1,1,,2,,,4,,,1,3,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",109,1,1,1,,2,,,4,3,,1,1,2018,5,4,,0,0,,2,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",106,1,1,1,,2,,,4,3,,1,5,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"303404030404","1559b44962074f1fa1de10a1c4794e7f",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",101,1,1,1,,1,1,1,4,,,1,1,2018,3,,,98,0,,2,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",104,2,1,1,,2,,,4,,,1,5,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",106,1,1,1,,2,,,4,,,2,4,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"113105040201","15d825f70832453c8d77d9b0db1b716f",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
