"Final_EA_code","interview__id","s6q01","s6q02_1","s6q02_2","s6q02_3","s6q02_4","s6q02_5","s6q02_6","s6q02_7"
"306201010103","67d77e0fbf754e25affd8ba11aa608d4",138,0,0,0,0,0,100,0
"215120020808","68984e8f107b4fcfbc983a0691df01bd",250,40,0,0,0,0,60,0
"112104021001","68b87f690c5e4d41b26440d4af920eff",63,40,0,0,0,40,20,0
"203202030310","69fdbce170a34999b98ced8ce8ccb437",,,,,,,,
"406210060603","6aac54099d5446c99029c48d21edbab1",360,50,0,0,0,0,50,0
"418201020305","6be18dc7379a4d86ac204d6d08b614b7",91,60,0,5,15,0,15,5
"306204010301","6cb2e1bf1182402dbb626c64f4ba2cfb",200,40,0,30,0,0,20,10
"318102020202","6d561d7e1bb34b0480b61373102428fd",450,0,0,0,0,0,100,0
"411402020404","6d6546ea45a24ccf8284463ab31b6654",158,35,0,5,35,5,20,0
"223120020410","6e7a08685b68404b86a3cfd6815d3824",31,85,0,0,0,0,15,0
"214101060404","6ec8cecb648e4b6c974f20a8722affe1",283,50,0,0,20,0,20,10
"103107020109","6fb3d5bdcb87496da47243e3711c1dc0",340,30,0,30,0,5,35,0
"403301030215","712dd05dfdf54bc4ab5eb46fc55e1e5a",820,2,0,0,0,0,98,0
"113113020418","73b6584e55df47ef8692caed8625a956",800,20,0,0,0,10,60,10
"111202061528","73edb914e5ec4a6c937147490826972f",180,50,0,0,0,10,40,0
"102103120844","74879a9428874965ae87feacedc0f2b4",300,0,0,0,0,0,98,2
"314105010202","75df2b5c7d6b49258b3614c8243de9b7",300,90,0,0,0,0,10,0
"225103041522","76a347dba3c945d9a2e4aae06a3c0037",155,80,0,0,0,0,20,0
"412203040507","77b63a2a3a58466ca5b25c52c46907cb",112,40,0,20,15,0,15,10
"106106060103","78b1f1144ce740d7ac6429052767b4a1",280,40,0,10,0,10,40,0
"315105030209","7934cfadf18a4020840735d003867847",57,60,0,0,0,5,30,5
"113113060242","7a92a755edec4d6bae64f894ad5bc2f0",750,0,0,0,0,10,80,10
"415105020404","7af284e10f4046009386ca7cc0df56d7",273,50,0,0,0,0,50,0
"122105020311","7b71511069ca41d7952c83c3004520f3",3000,0,0,0,0,0,100,0
"304204020110","7b91ac7196d446f7b7c4c92f86fbac42",1200,50,0,0,0,15,30,5
"204301030308","7ceaac984dc44338a95f7d19824a5621",165,80,0,0,0,0,20,0
"203202040303","7f25311583624b7487a569df466b24ac",600,,,,,,,
"407106021906","80c5e48699bc48b29bf11f38cdc04fc5",100,40,0,0,0,20,40,0
"112102030202","81def38cfed24edd80e47b293c3bc0b9",400,50,0,0,10,10,30,0
"306204020605","81f2300746cc4b068c95f765f2b403ba",76,60,0,0,30,0,10,0
"410101040507","824efbe20846431fba549104887331e5",135,60,0,5,10,0,15,10
"102103050439","825a4d9c10674fb68ae9182bf65152ca",1200,0,0,0,0,0,100,0
"309104050403","82e2ee46332f4f5c854335056696f881",110,10,0,0,0,0,80,10
"324101011403","865a0a2dd0d442a6aeb227dbd3367b05",,,,,,,,
"117201050401","87d1a29404f24095af33c51ad6ddf04b",900,5,0,0,0,0,75,20
"318114020701","8b2193d437e64893a12f1635d1aae2bd",70,50,0,0,40,0,10,0
"211106070404","8c60b24c5d69459ab88587107842bf8a",487,50,0,0,0,0,50,0
"406212010207","8da56015c708420985ff1484fc7d3201",150,0,0,0,0,10,20,70
"102102060108","8ed0e75643204d23b4513def2c5cc970",8000,0,0,0,0,2,80,18
"110206030911","8f69cfcd9bea4a2a9339fd61390606cf",153,60,0,0,0,10,30,0
"105105020108","909b86e277fe480492fe605802d4b272",225,60,20,0,0,0,20,0
"125105010702","91e89e7118c041fba1ad3f88cbbfb499",200,40,10,10,10,5,25,0
