"Final_EA_code","interview__id","Class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66"
"204102040514","0878b9ca320646cbb31fafb49df1a623",6,1,1,60,60,1,2,1,,,,1,73,1,2,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",1,2,2,111,133,1,3,1,,,,1,87,3,2,1
"204102040514","0878b9ca320646cbb31fafb49df1a623",0,2,2,203,182,1,4,1,,,,1,122,2,2,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",5,1,1,78,85,1,3,1,,,,1,89,2,3,2
"307202030201","09bfa283100c462d998e21c567116948",4,2,2,30,45,1,4,1,,,,2,63,1,2,2
"307202030201","09bfa283100c462d998e21c567116948",6,1,2,44,48,1,4,1,,,,1,84,1,2,2
"307202030201","09bfa283100c462d998e21c567116948",5,2,1,24,28,1,3,1,,,,1,46,1,3,2
"307202030201","09bfa283100c462d998e21c567116948",2,1,1,32,21,2,4,1,,,,1,52,1,4,2
"307202030201","09bfa283100c462d998e21c567116948",0,1,1,51,49,1,4,1,,,,1,59,1,2,1
"307202030201","09bfa283100c462d998e21c567116948",1,2,1,49,48,2,3,1,,,,1,80,1,2,1
"307202030201","09bfa283100c462d998e21c567116948",3,2,1,32,37,1,4,1,,,,1,60,1,2,2
"107302030503","0aee3535b7234e049787609e8776fee8",5,1,2,35,25,1,4,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",0,2,1,44,30,2,1,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",6,1,2,9,14,1,3,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",3,2,2,35,30,1,2,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",2,2,2,43,20,2,2,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",4,2,2,20,20,1,3,,,,,,,,,
"107302030503","0aee3535b7234e049787609e8776fee8",1,2,2,32,40,2,1,,,,,,,,,
"117202080201","0b08b47250b441e9a1cef5e119453e39",3,2,1,26,30,2,2,1,,,,1,47,1,1,1
"117202080201","0b08b47250b441e9a1cef5e119453e39",5,2,2,27,21,1,3,1,,,,1,40,1,1,1
"117202080201","0b08b47250b441e9a1cef5e119453e39",6,2,1,15,19,1,3,1,,,,1,32,2,1,1
"117202080201","0b08b47250b441e9a1cef5e119453e39",0,2,2,8,12,2,1,1,,,,1,16,1,2,1
"117202080201","0b08b47250b441e9a1cef5e119453e39",2,2,1,22,16,2,2,1,,,,1,29,1,1,1
"117202080201","0b08b47250b441e9a1cef5e119453e39",1,2,2,10,15,2,1,1,,,,2,20,1,1,1
"117202080201","0b08b47250b441e9a1cef5e119453e39",4,2,2,29,25,1,2,2,2,,7,1,48,1,1,1
"204203010514","0c7be6801de643efa91970a69114cead",4,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",0,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",6,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",3,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",2,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",5,,,,,,,,,,,,,,,
"204203010514","0c7be6801de643efa91970a69114cead",1,,,,,,,,,,,,,,,
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",0,1,2,201,155,2,5,2,2,,13,1,173,4,3,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",6,1,1,17,7,1,2,2,1,1,,1,21,1,1,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",2,1,1,89,93,2,5,2,2,,13,1,82,1,1,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",1,1,2,92,84,2,5,2,2,,13,2,99,2,2,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",3,1,1,79,53,2,3,2,2,,13,1,91,1,1,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",5,1,2,56,50,1,2,1,,,,1,34,1,1,2
"313104010108","0d07cf9a197b4eaa9ba64ed29c9134ad",4,1,2,55,51,1,5,1,,,,1,62,1,1,2
"118101041020","0d35d167e05a48cabed55225424424cf",5,2,1,28,34,1,3,1,,,,1,40,1,2,1
"118101041020","0d35d167e05a48cabed55225424424cf",1,2,2,38,42,1,1,2,1,96,,1,34,1,3,1
"118101041020","0d35d167e05a48cabed55225424424cf",3,2,2,37,39,1,3,2,1,96,,1,44,1,2,1
"118101041020","0d35d167e05a48cabed55225424424cf",4,1,1,36,38,1,3,2,1,96,,1,47,1,2,1
"118101041020","0d35d167e05a48cabed55225424424cf",6,1,2,10,18,1,4,2,1,9,,1,0,1,2,1
"118101041020","0d35d167e05a48cabed55225424424cf",2,2,2,39,40,1,1,2,1,96,,1,34,1,3,1
"118101041020","0d35d167e05a48cabed55225424424cf",0,2,2,62,51,2,1,2,1,96,,1,20,1,4,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",1,2,2,4,4,2,3,1,,,,2,8,1,2,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",6,2,2,3,1,2,2,1,,,,2,4,1,1,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",4,1,2,3,1,2,2,1,,,,2,2,1,1,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",2,1,2,5,2,2,3,1,,,,1,7,1,2,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",5,1,2,2,1,2,1,1,,,,2,3,1,2,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",0,1,3,9,4,2,3,1,,,,2,13,1,2,1
"102104081332","0e0a6e4e61be4e86827a616c7e49c88b",3,1,2,4,6,2,3,1,,,,1,10,1,2,1
"113105050532","103ae2d40d654ba6ae6314c148087521",3,2,2,82,77,1,1,1,,,,1,150,1,1,1
"113105050532","103ae2d40d654ba6ae6314c148087521",4,1,1,60,109,1,1,1,,,,1,154,1,1,1
"113105050532","103ae2d40d654ba6ae6314c148087521",1,2,2,53,52,1,1,1,,,,1,103,1,2,1
"113105050532","103ae2d40d654ba6ae6314c148087521",0,2,2,52,40,2,1,1,,,,1,210,1,1,1
"113105050532","103ae2d40d654ba6ae6314c148087521",6,2,1,65,66,1,1,1,,,,1,121,1,1,1
