"Final_EA_code","interview__id","s1aq01b","s1aq02b","s1aq03b","s1aq04b","Batch"
"107305070203","22079ff2853f489cae51dabb6c99470d","107","3","5","7",315
"403201020515","22305ac5a3e1460c98eca90206d5b6bc","403","2","1","2",1092
"102105010613","2298e1b9396042d282a34faa2bbeac2d","102","1","5","1",49
"215115020203","23f6bb268b504e58856725154c372561","215","1","15","2",438
"230105040506","24dff56428de471c8f2d55dc2ad1600a","230","1","5","4",506
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32","102","1","1","8",3
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda","216","2","2","3",520
"404102030405","26eef9075b7349a0b4525e9ba09468a2","404","1","2","3",859
"409101040104","26f0c6653b8b4c1bad87410d14d90552","409","1","1","4",902
"119104030404","293ecee7a80a482c9e10d861a7ee9c7c","119","1","4","3",271
"422107010808","29cc9b2639524c459e1b9c4f9837262e","422","1","7","1",1055
"117302030901","2b8544e9cb7347bdb22735d3564fdf4e","117","3","2","3",262
"102105130528","2bc65237da7d4f7995d38281b77b1e4b","102","1","5","13",61
"102105100433","2bea2c4985dd4f418a8c387b21ac7fbb","102","1","5","10",56
"102101040201","2c2b89bb4ed247988f21f5d27d2b69ff","102","1","1","4",2
"107202060102","2c4950efbc4f485ca7901eed4a944579","107","2","2","6",107
"205107030213","2c5000cc7fa54db897421cefd55bae85","205","1","7","3",359
"330107010101","2c7dff734efc4ccb991e6cba613ab077","330","1","7","1",806
"303404010207","2c8f787219df44ad88f08faf238da056","303","4","4","1",566
"417103010710","2d21136097a4458a990cfe6f52865418","417","1","3","1",986
"124101050211","2f0258e282264dd6be94505229e6d055","124","1","1","5",287
"102102080506","2f3dadda9c4d49b89b8f3d25ecf05ddc","102","1","2","8",10
"106101090206","303f41c72565478cbb227a5e342ebc3e","106","1","1","9",96
"320102040601","30b9d5e1f9fe43dd8a86e6563a69e79a","320","1","2","4",725
"405302030405","30fa92d582c34ffb8cd59644c7cc475f","405","3","2","3",875
"318116050101","312a435313e24061969eab79d4d65731","318","1","16","5",707
"110207040309","31a3f66b54524494a74c267e31e91d05","110","2","7","4",142
"218115040101","32bb43e6ccef425296ce50b454dcdcf2","218","1","15","4",446
"201206020507","333db34cb0974453b19b4d13bf2506ac","201","2","6","2",327
"115103020402","34533291de9b4e30a46add0d31cb8f27","115","1","3","2",227
"226101010214","349edf6fc6cb49ddb9bfeb044f66c642","226","1","1","1",487
"302201050803","34efbcdf896549f7b8f690de4d3ebdf7","302","2","1","5",524
"409301030405","362ff1525f0b427ebc84612761e41586","409","3","1","3",906
"302101021503","369a2e686b0641f08735d83c69d92007","302","1","1","2",822
"311202010102","37c7d386630e44f0b224b90b5746a370","311","2","2","1",826
"321107061709","391f45ad2d3548e1a27bd7652fb6719f","321","1","7","6",1161
"113406060107","39627200a32c4626bb07b5c5e5a292e7","113","4","6","6",205
"230105010304","39e38a8716404f4f8588e28c28dbc0d7","230","1","5","1",505
"302205050202","3a542ba2ee9a46dcb7835e47f9c7612c","302","2","5","5",531
"404207040904","3ac09195350c451580bdcc430347f62d","404","2","7","4",864
"329106020616","3b3c7af2481243f894a3a0b95ecb924a","329","1","6","2",798
"325103060210","3ce08aeb981a41a5bc347d2a41198d4c","325","1","3","6",774
"211105030205","3cf0a1fa46ae46828806f8595135cb16","211","1","5","3",401
"204302051318","3d61703566614f43b422c80f897bc1e4","204","3","2","5",354
"223108100606","3f41cdc7f4484a90894f7afe2a53b89b","223","1","8","10",477
"104104030820","40927a9f8da44e0980c45b12154cbe6e","104","1","4","3",76
"303405071314","41d507da42f24faaa7e7d79bf789ee25","303","4","5","7",574
"203301010111","44c8e8b546fa4e92b4e149105804a139","203","3","1","1",339
"202205030602","4582b29c263744c49916b533238ce553","202","2","5","3",334
"229104021009","45e2495043be477d9602ba8645c8bf4a","229","1","4","2",502
