"hhid","parcelID","a2aq1owned","s2aq5_1","s2aq03_1a","s2aq4","s2aq5","s2aq6","s2aq7","s2aq8","s2aq9","s2aq10","s2aq11a","s2aq11b","a2bq12a_1","a2bq12b_1","s2aq14","s2aq15a","s2aq15b","a2aq28","a2aq29a","a2aq29b","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b","s2aq23","a2aq31","s2aq26__0","s2aq26__1","a2aq32","a2aq33a","a2aq33b","a2aq33c","s2aq24__0","s2aq24__1","s2aq27__0","s2aq27__1","a2aq34","a2aq25","a2aq35","a2aq36","a2aq37","a2aq38","a2aq39"
"0368af34cb614bae9ef98c927741984d",2,1,1,1,,2.5,3,2,1,999,2,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,3,,,1,,1,,2,2,2,,1,,6000000
"0368af34cb614bae9ef98c927741984d",3,1,1,1,,4,3,2,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,3,,,1,,1,,2,2,2,,1,,8000000
"0397ef293012436a99a621fce6fc7471",1,1,1,1,0.21,0.25,1,1,1,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,3,,,1,,1,,2,2,2,,1,,11000000
"03b2600846004af6ba212269261907a2",1,1,1,1,0.9,1,1,4,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,1,1,2,1,,6000000
"03b2600846004af6ba212269261907a2",2,1,1,1,,1,2,3,1,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,6,,,1,,1,,1,2,2,,1,,7000000
"03d9ca9332d545378b468a1883127d8b",2,1,1,1,2.5,2.5,1,1,1,999,1,2,2,,,,98,70,1,1,,2,2,,,,4,,,,1,3,,,,,,,2,2,2,,1,,20000000
"044116a438c040a898ba43daf6bdc2ea",2,1,2,1,,4,3,3,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,3,,,1,2,1,,2,2,2,,1,,8000000
"0442775d8d424d59a433ab5940d510ca",1,1,5,3,0.76,1,1,1,2,999,2,2,2,,,,100,100,2,,,2,2,,,,3,1963,1,5,,,,,1,5,1,5,2,2,2,,1,,15000000
"046067ad635647c5a02c03f1790df520",1,1,1,1,,2,6,1,1,999,1,1,1,,,,100,100,2,,,2,2,,,,1,2015,1,,,,,,1,2,1,2,2,2,2,,1,,4200000
"046067ad635647c5a02c03f1790df520",2,1,1,1,10.46,8,1,4,2,999,1,1,1,,,,50,95,1,1,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,4400000
"0495834806fb40adb50e0fd619ef5094",1,1,1,1,,1.5,1,4,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,6,2,2,,1,,7500000
"0495834806fb40adb50e0fd619ef5094",2,1,1,1,,2,1,4,2,999,1,7,7,,,,,,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,6,2,2,,1,,12000000
"0495834806fb40adb50e0fd619ef5094",3,1,1,1,,2,1,4,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,6,2,2,,1,,10000000
"04b011de772e4ce08e33e461bb1741eb",1,1,1,1,3,3,1,1,1,999,1,1,1,,,,90,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,1,2,2,,1,,12000000
"04bfccbfe0c64dfebc28097777937f16",1,1,1,1,0.5,0.5,1,4,2,999,1,1,5,,1,,100,,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,3000000
"04bfccbfe0c64dfebc28097777937f16",2,1,1,3,,0.5,2,4,1,999,1,5,5,3,3,,,,2,,,2,2,,,,4,,,,1,3,,,1,,1,,5,2,2,,1,,2000000
"04d55903a5d448c3953d1d1ceda1084d",1,1,5,1,,2,1,4,1,999,2,2,2,,,,80,80,1,1,,2,2,,,,4,,,,2,,,,5,,5,,6,2,2,,1,,6000000
"04ee28189feb42c6a75acb852661aef1",1,1,1,1,,1.5,1,4,1,999,1,3,3,,,400000,,,2,,,2,1,1,1,3,4,,,,2,,,,1,,1,,2,2,2,,1,,4000000
"0515ceaa3b6d4400bb337565e78db4e4",1,1,1,1,0.6,0.5,2,1,1,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,96,,,1,,1,,1,2,2,,1,,15000000
"0515ceaa3b6d4400bb337565e78db4e4",2,1,1,1,0.34,0.25,2,1,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,6000000
"0515ceaa3b6d4400bb337565e78db4e4",3,1,1,1,,1,2,2,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,96,,,1,,1,,1,2,2,,1,,10000000
"051abf68db894b34a1ecfa22bd2a2509",1,1,1,3,,1,3,4,2,999,1,5,2,3,,,,100,2,,,2,2,,,,4,,,,1,1,,,1,2,1,2,2,2,2,,1,,7000000
"051abf68db894b34a1ecfa22bd2a2509",2,1,1,1,,2,2,4,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,1,,,1,,1,,2,2,2,,1,,5000000
"052f8d3f81c3477aa9366a24c54ddf83",1,1,1,3,1,1,1,4,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,3,1,3,2,2,2,,1,,5000000
"052f8d3f81c3477aa9366a24c54ddf83",2,1,1,3,,0.5,1,4,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,3,1,3,2,2,2,,1,,30000
"052f8d3f81c3477aa9366a24c54ddf83",3,1,3,3,,2,2,4,2,999,1,1,1,,,,50,100,2,,,2,2,,,,4,,,,2,,,,1,3,1,3,2,2,2,,1,,8000000
"0540d10333124c9ab290bb9daaf998cc",1,1,3,1,,3,3,4,2,999,1,5,2,3,,,,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,6000000
"054124cd4eff40ec97bf51a44fe4a93c",1,1,2,1,0.25,0.26,1,4,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,5,2,2,,1,,2200000
"05743465c6254f7baedf141b6381f400",2,1,1,1,,0.5,1,4,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,4000000
