"hhid","APCode","s6cq01","s6cq03a","s6cq03b","s6cq03c","s6cq03d","s6cq03e","s6cq03f","s6cq04a","s6cq04b","s6cq04c","s6cq06","s6cq07","s6cq08","s6cq09","s6cq10","s6cq11","s6cq12","s6cq13a","s6cq13b","s6cq14a","s6cq14b","s6cq15","s6cq15b","s6cq15c","s6cq16"
"16b9068818d64231a1bbdba1fc52fdfb",26,1,7,1,2,1,2,2,0,,,5,3,0,0,0,0,0,0,,0,,1,3,,1
"16caa101b05c4019b6297053ddc9eafe",23,1,6,1,,1,2,2,0,,,4,2,0,0,0,0,0,0,,0,,0,6,,1
"17233724877245b09fb85a552e6c44a7",23,1,3,5,7,5,7,2,0,,,7,0,0,0,0,0,4,0,,0,,0,3,,2
"1729c4f5581e4aceb8f17d06fce15ed4",23,1,6,1,,1,,2,0,,,3,5,0,0,0,0,2,0,,0,,0,1,3,2
"175e7c6516be47beacb811ab86baffaa",23,1,5,1,,1,,2,0,,,5,0,0,0,0,0,0,5,16000,0,,5,1,3,1
"17a884c8ed9e4ea891be76efa97d08c6",23,1,5,1,4,1,4,2,0,,,5,0,0,0,0,0,0,0,,0,,0,3,4,1
"17b3a7f9a9bb48608d1561619d7ab66e",23,1,10,1,7,1,7,2,0,,,5,11,0,0,0,0,6,0,,0,,0,5,1,2
"17d493f37f5240f1ab444e863bf4a430",23,1,11,,,,,2,0,,,4,16,0,3,0,0,4,0,,2,20000,0,6,1,2
"17efd64876a946c4ac7ac548aa933c41",23,1,5,1,,1,,2,0,,,5,0,0,0,0,0,0,0,,0,,0,6,3,1
"1829393f16384cd39325367c3eeb12d8",26,1,3,2,,2,,2,0,,,10,0,0,0,0,2,0,0,,0,,5,1,3,1
"18503ab4e314401a8ac5a5eb63ab4351",23,1,0,,,,,2,0,,,9,0,0,0,0,0,8,0,,0,,1,5,1,1
"188362933a9141d397ea8451677d4c14",23,1,8,1,,1,,2,0,,,20,0,0,0,0,0,0,0,,8,8500,4,1,3,1
"18999e7f64fc4843a27c7c089bafb852",23,1,5,1,2,1,2,2,0,,,12,0,0,0,0,0,0,0,,6,7000,1,1,3,1
"191014f8dc824e02b771df097ede918b",23,1,0,,,,,2,0,,,20,0,0,0,0,0,20,0,,0,,0,1,6,2
"191d75d796be49808dd3a85c7ebe8b7c",23,1,2,1,,1,,2,2,1,,12,0,0,0,0,0,0,0,,10,25000,0,1,3,2
"193cf962b1a344c185c6cefba882b7d4",23,1,13,1,3,1,3,2,0,,,15,0,0,0,0,1,0,0,,0,,1,1,3,2
"19e3862e9e4249d0b664dbc991572348",26,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"1a01e7d9d0d74b5ab6f701c27ee0ff78",23,1,0,,,,,2,0,,,20,0,0,0,0,0,20,0,,0,,0,1,3,1
"1a4ac0322d4c4cad97376ec4268cf20d",23,1,4,1,,4,6,2,0,,,4,3,0,0,0,0,2,0,,0,,1,1,5,1
"1a84383c92324677a36acd35ee170405",23,1,10,1,,1,2,2,0,,,8,2,0,0,0,0,0,0,,0,,0,6,,1
"1af76d643b15430ba98ecdbc7e76f894",23,1,4,,,,,2,0,,,6,5,0,0,0,0,4,0,,3,8000,0,1,5,1
"1af78993dda447e9b94e6fd57d9f9759",23,1,20,1,,1,,2,0,,,5,15,0,0,0,0,0,0,,0,,0,6,3,1
"1b3281db1d2047f88013a14f5df40e67",23,1,30,1,2,2,,2,0,,,27,8,0,0,0,0,2,0,,0,,3,3,1,1
"1b53079ceaf94e0396763c32908ac53f",23,1,10,1,2,1,2,2,0,,,2,8,0,0,0,0,0,0,,0,,0,3,,1
"1bb5cbd1e2e247dc961520e4bf821f00",23,1,4,,,,,2,0,,,2,2,0,0,0,0,0,0,,0,,0,3,,1
"1bdbf2c002c341fdb27ba09e8608f4e7",23,1,5,1,,1,,2,0,,,3,2,0,0,0,0,0,0,,0,,0,1,3,1
"1c337f7b888a44fd836b267fa7edbc2f",23,1,6,2,,2,,2,0,,,4,8,0,0,0,2,0,0,,2,12000,2,1,3,1
"1c41b5d7c9f943f2aee30403e83b187d",23,1,6,1,6,1,6,2,0,,,2,7,0,0,0,0,3,0,,0,,0,1,3,1
"1c4214f6641e482591c91735f5d022b0",23,1,7,2,,2,,2,0,,,3,4,0,0,0,0,0,0,,0,,0,1,,1
"1c9e0c6842514df987190903df844a48",23,1,28,1,7,1,7,2,0,,,15,15,0,0,1,0,0,0,,0,,1,4,,1
"1d47458568984727844c852213f7ede1",23,1,5,2,3,2,3,2,0,,,4,1,0,0,0,0,0,0,,0,,0,1,5,2
"1d47e47ac8a2462b95e722667dbf3dc8",23,1,3,4,,4,,2,0,,,2,0,1,0,0,0,0,0,,0,,0,3,,1
"1d5e4c1f17aa4672b0c6b638b10a58ff",23,1,9,1,2,1,2,2,0,,,9,7,0,0,0,0,2,0,,3,15000,2,1,3,1
"1d672eb8ea6c4e6799a9a0c2233645d7",25,1,200,2,,2,,2,0,,,200,0,0,0,0,0,0,400,2000,400,10000,0,1,,2
"1d67353f483347f1ac53e80407cacb54",23,1,4,1,2,1,2,1,0,,,4,23,0,0,0,0,23,0,,0,,0,1,5,1
"1d7ef5a2fe3f4af59e18768a7e63d24d",23,1,3,2,3,2,3,2,3,2,3,3,0,0,0,0,0,0,0,,0,,0,3,,1
"1dac5db687b34fd0b60a6254b5f9f850",26,1,10,2,3,2,3,2,0,,,3,7,0,0,0,0,0,0,,0,,0,6,5,1
"1dac5db687b34fd0b60a6254b5f9f850",23,1,2,2,3,2,3,2,0,,,15,0,0,0,0,0,10,0,,0,,3,6,3,1
"1dde61b25fcb4c269b7e1c154b83c159",23,1,20,1,2,2,6,2,0,,,11,11,0,0,0,0,0,0,,0,,2,3,1,1
"1de671dc290c488296a0d7820017baea",23,1,8,1,2,2,,2,0,,,6,16,0,0,0,0,13,0,,0,,1,1,3,1
"1e5254364a5e4079a8a51db53904c345",23,1,2,1,2,2,,2,0,,,0,0,0,0,0,0,0,2,6500,0,,0,3,,1
"1e951f7b564247088afe5da99452ba04",23,1,6,1,,1,,2,0,,,7,0,0,0,0,0,0,0,,0,,1,6,5,2
"1eb0387601424300a1f0f9b1dc3b6c10",23,,6,1,,1,,2,0,,,10,0,0,0,0,0,0,0,,0,,4,3,,1
"1ece1b49d0064ce4898999eeebcadb6f",23,1,16,4,,4,,2,0,,,5,11,0,0,0,0,0,0,,0,,0,1,,2
"1ef1bb52e6184972a679f8183203a57e",23,1,10,1,,1,,1,0,,,5,10,0,0,0,0,5,0,,0,,0,6,5,1
"1f5b0d10f8e34735b03f51e5c0a08f64",23,1,7,1,,1,,2,0,,,9,0,0,0,0,0,0,0,,2,30000,0,1,6,2
"1f9dbd1c79e94b1fb924ed9184539419",23,1,4,1,,1,2,2,0,,,20,0,0,0,0,0,0,0,,15,13000,1,1,5,2
"1fb6e880414f4ad3a2eaf4215ff6c077",23,1,11,1,,1,,2,0,,,3,10,0,0,0,1,0,0,,0,,1,1,3,1
"1fe4c1318fd54f66b040b4dfb416ef74",23,1,4,1,2,1,2,2,0,,,2,2,0,0,0,0,0,2,10000,0,,2,3,,1
"1feae0aafc18488bb26fd8f058eec380",23,1,16,1,,1,,2,0,,,3,13,0,0,0,0,0,0,,0,,0,1,,1
"20296c93a4814fb9b7219849e175b929",23,1,0,,,,,2,0,,,15,0,0,0,0,0,15,0,,0,,0,6,5,1
"207816d73e9f4cd6995648165702bdad",23,1,15,1,,1,,2,0,,,15,0,0,0,0,0,0,0,,0,,0,1,,1
"20dab0d44f7d4d1c866c7ba5d226f65b",23,1,16,1,2,1,2,2,0,,,3,16,0,0,0,0,3,0,,0,,0,3,1,1
"211c7c79c5944a7f92abbeefb202a79e",26,1,6,3,,3,,2,0,,,2,4,0,0,0,0,0,0,,0,,0,1,,1
"2140c5c82fb2488b8e6036d60d423225",23,1,8,2,,2,,2,0,,,3,5,0,0,0,0,0,0,,0,,0,6,,1
"21944e9e090548d9a50673fe2601883a",23,1,2,1,,1,7,2,0,,,6,0,0,0,0,0,2,0,,0,,2,1,3,1
"21a9703d5a584c8a9db2416f2de76485",23,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,,1
"21b135ceacfe44c6b35bfc0710e0060b",23,1,3,2,,2,,2,0,,,4,0,0,0,0,1,0,0,,0,,0,3,,1
"21b9661e2f1d4176a54808373138ff63",23,1,5,1,,1,3,2,0,,,8,6,0,0,0,2,4,0,,0,,3,6,4,1
"21d47202fc3b40a28314cce1f536c864",23,1,3,1,2,2,,2,0,,,4,0,0,0,0,0,0,0,,0,,1,5,6,1
"21eb4154ed39408eaeb0ca0f264c67f0",23,1,4,4,5,4,5,2,0,,,4,0,0,0,0,0,0,0,,0,,0,3,,1
