"hhid","parcelID","pltid","s3aq03b","s3bq03_1","s2aq05_211_1","s2aq04_1_1","s3bq03_2","s3bq03_3","s3bq03_4a","s3bq03_4b","s3bq03a","s3bq04","s3bq04a","s3bq05","s3bq06","s3bq07","s3bq08","s3bq09","s3bq12","s3bq13","s3bq14","s3bq13a","s3bq15","s3bq16","s3bq17","s3bq18","s3bq19","s3bq22","s3bq23","s3bq24a","s3bq24b","s3bq25","s3bq26","s3bq27","s3bq28","s3bq34","s3bq35a","s3bq35b","s3bq35c","s3bq36","s4bq07"
"7cb66aeeb60e4ee49698c72777425cb2",4,1,"IRISH POTATOES",1,2,,2,,2,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.75
"7cb66aeeb60e4ee49698c72777425cb2",1,1,"SWEET POTATOES",1,2,,2,,2,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7ce2c657a5f8477bacc9767d3c37d996",1,1,"COFFEE, BEANS AND BANANA PLOT",1,2,,2,,1,6,2,1,1,50,2,,,,1,2,,,,,,,,1,4,1,2,1,2,60000,2,2,,,,,2
"7d2eeffe41d5436e965adcc184b35a80",2,2,"PLOT B SWEETPOTATOES",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,1,0,0,18000,0.1
"7d2eeffe41d5436e965adcc184b35a80",2,1,"Plot A beans",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.09
"7d41679b9a7e47f2a724889bef4d175f",2,2,"POTATOES",2,2,,2,,1,2,2,1,1,200,2,,,,1,2,,,,,,,,2,,,,,,,,2,,,,,0.08
"7d41679b9a7e47f2a724889bef4d175f",1,3,"GROUNDNUTS",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,3,0,15000,0.2
"7d41679b9a7e47f2a724889bef4d175f",1,1,"BEANS",2,2,,2,,1,2,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,7,0,30000,0.15
"7d41679b9a7e47f2a724889bef4d175f",2,1,"BANANA FOOD",2,2,,2,,1,2,2,1,1,300,2,,,,1,2,,,,,,,,2,,,,,,,,2,,,,,0.26
"7d41679b9a7e47f2a724889bef4d175f",1,2,"SOYA BEAN",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,7,0,0,25000,0.15
"7d44a0f2670d499e8e94f79110a9e4f4",1,4,"MATOOKE",1,1,0.5,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.3
"7d44a0f2670d499e8e94f79110a9e4f4",2,1,"MATOOKE",1,1,1.5,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.5
"7d44a0f2670d499e8e94f79110a9e4f4",1,3,"SWEETPOTATOES",1,1,0.5,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7d44a0f2670d499e8e94f79110a9e4f4",1,2,"IRISHPOTATOES",1,1,0.1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.1
"7d9cc29e99d342b69da54fac681858b8",2,1,"SORGHUM",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7d9cc29e99d342b69da54fac681858b8",3,1,"MAIZE",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,5,0,30000,0.75
"7d9e7ac7f1d548839ce94ed872afa095",2,1,"Cassava",1,1,0.23,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.23
"7d9e7ac7f1d548839ce94ed872afa095",1,1,"Cassava",1,1,1,1,1,,,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7d9ff9021dd840a1bdd7a3b38f3bd0d9",1,3,"MAIZE",1,1,0.18,2,,3,5,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.18
"7d9ff9021dd840a1bdd7a3b38f3bd0d9",3,1,"CASSAVA 2018",1,2,,1,1,,,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,6,0,0,65000,1
"7d9ff9021dd840a1bdd7a3b38f3bd0d9",3,2,"TOBACCO",1,2,,1,1,,,2,2,,,,,,,,1,4,1,50,1,50,125000,96,2,,,,,,,,1,10,0,0,90000,1
"7d9ff9021dd840a1bdd7a3b38f3bd0d9",2,1,"TOBACCO",1,2,,1,3,,,2,2,,,,,,,,1,4,1,10,1,10,25000,96,2,,,,,,,,1,10,0,0,50000,0.5
"7d9ff9021dd840a1bdd7a3b38f3bd0d9",1,4,"TOBACCO",1,1,0.26,1,5,,,2,2,,,,,,,,1,4,1,1,1,1,2500,96,2,,,,,,,,1,1,0,0,10000,0.35
"7dce8526566e4202bce36ec12ced41f1",3,2,"SUGARCANE",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7dce8526566e4202bce36ec12ced41f1",1,1,"MAIZE AND BEANS",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7dce8526566e4202bce36ec12ced41f1",3,1,"MIXED",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7dce8526566e4202bce36ec12ced41f1",2,1,"MIXED",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7de8e459d1b54fd5b32c23c2b181b043",1,1,"BANANA FOOD",2,1,2.89,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,2,0,0,150000,2.89
"7deebc51089746ed99e16cf3ddc433ad",1,3,"SUGAR CANE",1,1,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7deebc51089746ed99e16cf3ddc433ad",1,4,"IRISH",1,1,0.1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.1
"7deebc51089746ed99e16cf3ddc433ad",1,5,"CASSAVA",1,1,0.3,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.3
"7deebc51089746ed99e16cf3ddc433ad",1,1,"MATOOKE",1,1,0.1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.1
"7deebc51089746ed99e16cf3ddc433ad",1,2,"COFFEE",1,1,0.25,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7dfced6cbc8848e19244887384b283d1",1,1,"Cassava",1,2,,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7dfced6cbc8848e19244887384b283d1",2,1,"Cassava",1,2,,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.18
"7e08b7dbbab14a8b9c0c73accf382d65",1,1,"MATOOKE",7,1,5,1,7,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,2
"7e08b7dbbab14a8b9c0c73accf382d65",1,2,"IRISH POTATOES",7,1,2,2,,1,7,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,20,10,0,230000,2
"7e09e5a5255c46d593baca275815362e",3,1,"SWEETPOTATOES",2,1,0.28,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.28
"7e09e5a5255c46d593baca275815362e",2,1,"MIXED PLOT",2,1,0.58,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.58
"7e11200d01e142fcbb945dfe20d3d6d2",2,2,"MAIZE",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7e11200d01e142fcbb945dfe20d3d6d2",1,1,"home",2,1,0.5,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7e11200d01e142fcbb945dfe20d3d6d2",2,1,"IRISHPOTATOES",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7e4528b57a214c61bd02ec1894d08bbe",1,1,"BEANS",1,1,0.25,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,6,0,0,24000,0.25
"7e4528b57a214c61bd02ec1894d08bbe",1,2,"BEANS AND CASSAVA",1,1,0.25,1,1,,,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7e9c6f268eb644c086c31500db4d969a",1,1,"MAIZE",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,6,0,25000,0.5
"7ea0598e424749b0a1a1eb97f6d0019d",2,2,"BEANS",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,4,0,20000,1
"7ea0598e424749b0a1a1eb97f6d0019d",2,3,"SWEET POTATOES",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,2,0,10000,0.25
"7ea0598e424749b0a1a1eb97f6d0019d",1,1,"BANANA FOOD",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,10,0,0,50000,2
"7ea0598e424749b0a1a1eb97f6d0019d",2,1,"BANANA FOOD",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,4,0,0,20000,1
"7ed3d60f89f14690ab5b011e1fe42c6a",1,1,"beans",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,2,0,0,20000,0.6
"7ed3d60f89f14690ab5b011e1fe42c6a",1,2,"sweetpotata",1,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,2,0,0,15000,0.4
"7ed5a174d4464ea7b679184bdd816f17",1,5,"SWEETPOTATOES",3,1,0.02,1,3,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.02
"7ed5a174d4464ea7b679184bdd816f17",1,1,"BANANA FOOD",3,1,0.95,1,3,,,2,2,,,,,,,,1,4,1,3,1,3,10500,3,1,1,2,0.5,1,0.5,24000,3,2,,,,,0.95
"7ed5a174d4464ea7b679184bdd816f17",1,2,"COFFEE",3,1,0.17,1,3,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.17
"7f18080980ae4069a9c1dd53aa99d928",1,1,"SORGHUM",2,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7f18080980ae4069a9c1dd53aa99d928",2,1,"SORGHUM",2,2,,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.5
"7f4ea4f06a43445890c25801d2f482da",1,2,"MILLET",5,2,,2,,1,5,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7f4ea4f06a43445890c25801d2f482da",1,1,"SWEET POTATOES",5,2,,2,,5,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7f6cd6fd8cc24f038446e20e163e6276",1,1,"BANANA FOOD PLOT",2,2,,2,,1,2,2,1,1,300,2,,,,1,2,,,,,,,,2,,,,,,,,2,,,,,0.9
"7f86a2edc5d649d78edb9106de25a7c4",1,1,"BANANA FOOD",2,2,,1,2,,,2,1,1,50000,1,50000,350000,5,,2,,,,,,,,2,,,,,,,,1,30,0,0,150000,2.41
"7f86a2edc5d649d78edb9106de25a7c4",1,2,"BEANS AND MAIZE",2,2,,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,10,0,50000,1.5
"7fb6d302e9724029be9d38af7fa4580b",3,1,"MAIZE",12,2,,2,,10,12,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,14,0,0,70000,1
"7fb6d302e9724029be9d38af7fa4580b",4,1,"MAIZE",12,2,,2,,10,12,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,14,0,0,120000,2
"7fb6d302e9724029be9d38af7fa4580b",1,1,"BANANAS",1,1,0.34,2,,1,12,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,11,0,0,60000,0.34
"7fe32876101b490ca3e8109d2ee81beb",1,1,"SOYA",1,1,0.55,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.55
"7fe32876101b490ca3e8109d2ee81beb",3,1,"MWOGO",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"7fe32876101b490ca3e8109d2ee81beb",2,2,"NGOR",2,1,0.25,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7fe32876101b490ca3e8109d2ee81beb",2,1,"NYWAGI",2,1,0.72,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.72
