"hhid","parcelID","pltid","s3aq03","s2aq04_1","s3aq03_1","s3aq03_2","s3aq03_3","s3aq03_4a","s3aq03_4b","s3aq03a","s3aq04","s3aq04a","s3aq05","s3aq06","s3aq07","s3aq08","s3aq09","s3aq12","s3aq13","s3aq14","s3aq14a","s3aq15","s3aq16","s3aq17","s3aq18","s3aq19","s3aq22","s3aq23","s3aq24a","s3aq24b","s3aq25","s3aq26","s3aq27","s3aq28","s3aq34","s3aq35a","s3aq35b","s3aq35c","s3aq36","s4aq07"
"8f6a2f18563f4f9eb221f2968b4e835a",1,1,"BANANA BEER/ COFFEE",0.81,2,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.81
"8f78f136f4ee4a3d8ff64a418fd86357",1,1,"MAIZE",,2,2,,2,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"8f78f136f4ee4a3d8ff64a418fd86357",1,2,"SIMSIM",,2,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"8f8c64fa798c4e5e8490b8cca7bbd057",5,1,"chears",0.35,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.35
"8f8c64fa798c4e5e8490b8cca7bbd057",2,1,"Mogo",5.8,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,5.8
"8f8c64fa798c4e5e8490b8cca7bbd057",1,1,"BEL",1,1,2,,1,2,1,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,1,10,0,34000,1
"8fa9e6cc5c0f432782ba1678d9afba6c",2,1,"BEANS",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.75
"8fa9e6cc5c0f432782ba1678d9afba6c",1,1,"BEANS",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.75
"8fc328740870453a95ab4a82018c63bd",1,1,"Plot A maize",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,4,0,0,60000,2
"8fd7e756172d4ffeb06c4ac56373c5b6",2,1,"SIMSIM",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
